"variable","regionnumber","year","value"
"JOBSI0R","1","2020",38217.61
"JOBSI0R","2","2020",346232.8
"JOBSI0R","3","2020",2107680
"JOBSI0R","4","2020",407308.6
"JOBSI0R","5","2020",18680.42
"JOBSI0R","6","2020",20028.94
"JOBSI0R","7","2020",76146.79
"JOBSI0R","8","2020",23745.62
"JOBSI0R","9","2020",58698.39
"JOBSI0R","10","2020",57009.07
"JOBSI0R","11","2020",145434.4
"JOBSI0R","12","2020",108381.4
"JOBSI0R","13","2020",34196.69
"JOBSI0R","14","2020",9321.518
"JOBSI0R","1","2021",38275.83
"JOBSI0R","2","2021",350813.7
"JOBSI0R","3","2021",2125152
"JOBSI0R","4","2021",411936.5
"JOBSI0R","5","2021",19466.72
"JOBSI0R","6","2021",20000.87
"JOBSI0R","7","2021",76637.82
"JOBSI0R","8","2021",23765.15
"JOBSI0R","9","2021",59464.03
"JOBSI0R","10","2021",57578.75
"JOBSI0R","11","2021",146603.6
"JOBSI0R","12","2021",108795.6
"JOBSI0R","13","2021",34307.97
"JOBSI0R","14","2021",9307.214
"JOBSI0R","1","2022",38524.69
"JOBSI0R","2","2022",357754.9
"JOBSI0R","3","2022",2153685
"JOBSI0R","4","2022",418154.9
"JOBSI0R","5","2022",20282.72
"JOBSI0R","6","2022",20077.48
"JOBSI0R","7","2022",77556
"JOBSI0R","8","2022",23889.43
"JOBSI0R","9","2022",60526.37
"JOBSI0R","10","2022",58482.77
"JOBSI0R","11","2022",148543.6
"JOBSI0R","12","2022",110168
"JOBSI0R","13","2022",34597.06
"JOBSI0R","14","2022",9328.006
"JOBSI0R","1","2023",38866.88
"JOBSI0R","2","2023",365897.4
"JOBSI0R","3","2023",2189546
"JOBSI0R","4","2023",425536
"JOBSI0R","5","2023",21048.99
"JOBSI0R","6","2023",20166.82
"JOBSI0R","7","2023",78628.37
"JOBSI0R","8","2023",24063.53
"JOBSI0R","9","2023",61805.48
"JOBSI0R","10","2023",59583.46
"JOBSI0R","11","2023",151242.4
"JOBSI0R","12","2023",112190.2
"JOBSI0R","13","2023",34946.54
"JOBSI0R","14","2023",9380.426
"JOBSI0R","1","2024",39146.64
"JOBSI0R","2","2024",373959.6
"JOBSI0R","3","2024",2223994
"JOBSI0R","4","2024",433022
"JOBSI0R","5","2024",21789.86
"JOBSI0R","6","2024",20245.15
"JOBSI0R","7","2024",79630.21
"JOBSI0R","8","2024",24212.73
"JOBSI0R","9","2024",63000.52
"JOBSI0R","10","2024",60690.65
"JOBSI0R","11","2024",153814.8
"JOBSI0R","12","2024",114070.2
"JOBSI0R","13","2024",35222.6
"JOBSI0R","14","2024",9426.566
"JOBSI0R","1","2025",39425.58
"JOBSI0R","2","2025",381763.3
"JOBSI0R","3","2025",2257590
"JOBSI0R","4","2025",440623.9
"JOBSI0R","5","2025",22514.86
"JOBSI0R","6","2025",20324.53
"JOBSI0R","7","2025",80573.95
"JOBSI0R","8","2025",24337.36
